timestamp,state,temp_C,RH_pct,sample_duration_s,flow_CFM,ch1_size_um,ch1_diff_counts,ch1_diff_m3,ch1_sum_m3,ch2_size_um,ch2_diff_counts,ch2_diff_m3,ch2_sum_m3,ch3_size_um,ch3_diff_counts,ch3_diff_m3,ch3_sum_m3,ch4_size_um,ch4_diff_counts,ch4_diff_m3,ch4_sum_m3,ch5_size_um,ch5_diff_counts,ch5_diff_m3,ch5_sum_m3,ch6_size_um,ch6_diff_counts,ch6_diff_m3,ch6_sum_m3
2026-05-27T14:27:38.639696,Stopped,No sensor,No sensor,0.0,0.1,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2026-05-27T14:28:26.200087,Stopped,No sensor,No sensor,0.0,0.1,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2026-05-27T14:28:31.743838,Stopped,No sensor,No sensor,0.0,0.1,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2026-05-27T14:28:37.286833,Stopped,No sensor,No sensor,0.0,0.1,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2026-05-27T14:28:42.827396,Stopped,No sensor,No sensor,0.0,0.1,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2026-05-27T14:28:48.373948,Stopped,No sensor,No sensor,0.0,0.1,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2026-05-27T14:28:53.917288,Stopped,No sensor,No sensor,0.0,0.1,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2026-05-27T14:28:59.463093,Stopped,No sensor,No sensor,0.0,0.1,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2026-05-27T14:29:05.006507,Stopped,No sensor,No sensor,0.0,0.1,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2026-05-27T14:29:10.544480,Stopped,No sensor,No sensor,0.0,0.1,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2026-05-27T14:29:16.083572,Stopped,No sensor,No sensor,0.0,0.1,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2026-05-27T14:29:21.656486,Stopped,No sensor,No sensor,0.0,0.1,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2026-05-27T14:29:27.193792,Stopped,No sensor,No sensor,0.0,0.1,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2026-05-27T14:29:32.730820,Stopped,No sensor,No sensor,0.0,0.1,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2026-05-27T14:29:38.267680,Stopped,No sensor,No sensor,0.0,0.1,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2026-05-27T14:29:43.805276,Stopped,No sensor,No sensor,0.0,0.1,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2026-05-27T14:29:49.342059,Stopped,No sensor,No sensor,0.0,0.1,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2026-05-27T14:29:54.879548,Stopped,No sensor,No sensor,0.0,0.1,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2026-05-27T14:30:00.420325,Stopped,No sensor,No sensor,0.0,0.1,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2026-05-27T14:30:05.958213,Stopped,No sensor,No sensor,0.0,0.1,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2026-05-27T14:30:11.495848,Stopped,No sensor,No sensor,0.0,0.1,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2026-05-27T14:30:17.033604,Stopped,No sensor,No sensor,0.0,0.1,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2026-05-27T14:30:22.570497,Stopped,No sensor,No sensor,0.0,0.1,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2026-05-27T14:30:28.109397,Stopped,No sensor,No sensor,0.0,0.1,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2026-05-27T14:30:33.652567,Stopped,No sensor,No sensor,0.0,0.1,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2026-05-27T14:30:39.190426,Stopped,No sensor,No sensor,0.0,0.1,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2026-05-27T14:30:44.727646,Stopped,No sensor,No sensor,0.0,0.1,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2026-05-27T14:30:50.264674,Stopped,No sensor,No sensor,0.0,0.1,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2026-05-27T14:30:55.802113,Stopped,No sensor,No sensor,0.0,0.1,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2026-05-27T14:31:01.342183,Stopped,No sensor,No sensor,0.0,0.1,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2026-05-27T14:31:06.878717,Stopped,No sensor,No sensor,0.0,0.1,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2026-05-27T14:31:12.415654,Stopped,No sensor,No sensor,0.0,0.1,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2026-05-27T14:31:17.954536,Stopped,No sensor,No sensor,0.0,0.1,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
